Runtime timeCreate ArrayPriortiyQueue,,,,,
ItemNumbers,ArrayPriorityQueue,JavaPriorityQueue,,,
10000,1,1,,,
50000,3,3,,,
100000,3,14,,,
500000,19,48,,,
1000000,65,85,,,
5000000,315,487,,,
Runtime Peek PriortiyQueue,,,,,
ItemNumbers,ArrayPriorityQueue,JavaPriorityQueue,,,
10000,1,0,,,
50000,1,0,,,
100000,0,0,,,
500000,2,0,,,`
1000000,7,0,,,
5000000,39,0,,,
Runtime Poll PriortiyQueue,,,,,
ItemNumbers,ArrayPriorityQueue,JavaPriorityQueue,,,
10000,1,0,,,
50000,1,0,,,
100000,2,0,,,
500000,11,0,,,
1000000,11,0,,,
5000000,40,0,,,
